"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 06 19:39:47 GMT 2024","Mon May 06 19:40:15 GMT 2024","28064","","tests.RegistrationFormPageObjectTests","","tests.RegistrationFormPageObjectTests","negativeWithoutNumberTest","negativeWithoutNumberTest()",""
"passed","Mon May 06 19:39:00 GMT 2024","Mon May 06 19:39:01 GMT 2024","755","","tests.ParametrizedTests","","tests.ParametrizedTests","selectedCurrencyShouldBeDisplayedOnCurrencyButton","selectedCurrencyShouldBeDisplayedOnCurrencyButton(Language) Проверка лого на локали IT",""
"passed","Mon May 06 19:38:53 GMT 2024","Mon May 06 19:38:53 GMT 2024","640","","tests.ParametrizedTests","","tests.ParametrizedTests","checkingBa","Проверка текста баннера на различных локалях Проверка текста Un business internazionale, creato in Siberia на локали it",""
"passed","Mon May 06 19:38:53 GMT 2024","Mon May 06 19:38:55 GMT 2024","1380","","tests.ParametrizedTests","","tests.ParametrizedTests","checkingBa","Проверка текста баннера на различных локалях Проверка текста International business, born in Siberia на локали en",""
"passed","Mon May 06 19:39:06 GMT 2024","Mon May 06 19:39:23 GMT 2024","16228","","tests.RegistrationFormPageObjectTests","","tests.RegistrationFormPageObjectTests","minSuccessfulTest","minSuccessfulTest()",""
"passed","Mon May 06 19:38:48 GMT 2024","Mon May 06 19:38:48 GMT 2024","709","","tests.ParametrizedTests","","tests.ParametrizedTests","correctHeadlinesShouldBeVisible","correctHeadlinesShouldBeVisible(Language, List) Проверка на локали IT заголовков [Prodotti, Profilo dell’Azienda, Business, Acquisto vantaggioso]",""
"failed","Mon May 06 19:38:56 GMT 2024","Mon May 06 19:39:00 GMT 2024","4662","","tests.ParametrizedTests","","tests.ParametrizedTests","selectedCurrencyShouldBeDisplayedOnCurrencyButton","selectedCurrencyShouldBeDisplayedOnCurrencyButton(Language) Проверка лого на локали EN",""
"passed","Mon May 06 19:39:01 GMT 2024","Mon May 06 19:39:02 GMT 2024","616","","tests.ParametrizedTests","","tests.ParametrizedTests","selectedCurrencyShouldBeDisplayedOnCurrencyButton","selectedCurrencyShouldBeDisplayedOnCurrencyButton(Language) Проверка лого на локали ES",""
"passed","Mon May 06 19:39:02 GMT 2024","Mon May 06 19:39:06 GMT 2024","4417","","tests.RegistrationFormPageObjectTests","","tests.RegistrationFormPageObjectTests","fullSuccessfulTest","fullSuccessfulTest()",""
"passed","Mon May 06 19:38:55 GMT 2024","Mon May 06 19:38:56 GMT 2024","997","","tests.ParametrizedTests","","tests.ParametrizedTests","checkingBa","Проверка текста баннера на различных локалях Проверка текста Negocio internacional, nacido en Siberia на локали es",""
"passed","Mon May 06 19:40:15 GMT 2024","Mon May 06 19:40:39 GMT 2024","23939","","tests.TextBoxPageObjectTest","","tests.TextBoxPageObjectTest","fullSuccessfulTest","fullSuccessfulTest()",""
"failed","Mon May 06 19:38:48 GMT 2024","Mon May 06 19:38:53 GMT 2024","4319","","tests.ParametrizedTests","","tests.ParametrizedTests","correctHeadlinesShouldBeVisible","correctHeadlinesShouldBeVisible(Language, List) Проверка на локали ES заголовков [Productos, Sobre la Compañía, Negocio, Compra rentable]",""
"passed","Mon May 06 19:39:23 GMT 2024","Mon May 06 19:39:47 GMT 2024","24485","","tests.RegistrationFormPageObjectTests","","tests.RegistrationFormPageObjectTests","negativeWithoutLastNameTest","negativeWithoutLastNameTest()",""
"passed","Mon May 06 19:38:43 GMT 2024","Mon May 06 19:38:47 GMT 2024","4824","","tests.ParametrizedTests","","tests.ParametrizedTests","correctHeadlinesShouldBeVisible","correctHeadlinesShouldBeVisible(Language, List) Проверка на локали EN заголовков [Products, About the Company, Business, Buy & save]",""
