"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon May 06 19:47:07 GMT 2024","Mon May 06 19:47:11 GMT 2024","4407","","tests.ParametrizedTests","","tests.ParametrizedTests","correctHeadlinesShouldBeVisible","correctHeadlinesShouldBeVisible(Language, List) Проверка на локали ES заголовков [Productos, Sobre la Compañía, Negocio, Compra rentable]",""
"passed","Mon May 06 19:48:00 GMT 2024","Mon May 06 19:48:16 GMT 2024","15500","","tests.RegistrationFormPageObjectTests","","tests.RegistrationFormPageObjectTests","negativeWithoutNumberTest","negativeWithoutNumberTest()",""
"failed","Mon May 06 19:47:20 GMT 2024","Mon May 06 19:47:24 GMT 2024","4372","","tests.ParametrizedTests","","tests.ParametrizedTests","selectedCurrencyShouldBeDisplayedOnCurrencyButton","selectedCurrencyShouldBeDisplayedOnCurrencyButton(Language) Проверка лого на локали ES",""
"passed","Mon May 06 19:47:46 GMT 2024","Mon May 06 19:48:00 GMT 2024","14359","","tests.RegistrationFormPageObjectTests","","tests.RegistrationFormPageObjectTests","negativeWithoutLastNameTest","negativeWithoutLastNameTest()",""
"passed","Mon May 06 19:47:18 GMT 2024","Mon May 06 19:47:19 GMT 2024","1415","","tests.ParametrizedTests","","tests.ParametrizedTests","selectedCurrencyShouldBeDisplayedOnCurrencyButton","selectedCurrencyShouldBeDisplayedOnCurrencyButton(Language) Проверка лого на локали EN",""
"passed","Mon May 06 19:48:16 GMT 2024","Mon May 06 19:48:34 GMT 2024","18564","","tests.TextBoxPageObjectTest","","tests.TextBoxPageObjectTest","fullSuccessfulTest","fullSuccessfulTest()",""
"failed","Mon May 06 19:47:13 GMT 2024","Mon May 06 19:47:18 GMT 2024","4371","","tests.ParametrizedTests","","tests.ParametrizedTests","checkingBa","Проверка текста баннера на различных локалях Проверка текста Negocio internacional, nacido en Siberia на локали es",""
"passed","Mon May 06 19:47:01 GMT 2024","Mon May 06 19:47:06 GMT 2024","5013","","tests.ParametrizedTests","","tests.ParametrizedTests","correctHeadlinesShouldBeVisible","correctHeadlinesShouldBeVisible(Language, List) Проверка на локали EN заголовков [Products, About the Company, Business, Buy & save]",""
"passed","Mon May 06 19:47:24 GMT 2024","Mon May 06 19:47:29 GMT 2024","4637","","tests.RegistrationFormPageObjectTests","","tests.RegistrationFormPageObjectTests","fullSuccessfulTest","fullSuccessfulTest()",""
"passed","Mon May 06 19:47:19 GMT 2024","Mon May 06 19:47:20 GMT 2024","664","","tests.ParametrizedTests","","tests.ParametrizedTests","selectedCurrencyShouldBeDisplayedOnCurrencyButton","selectedCurrencyShouldBeDisplayedOnCurrencyButton(Language) Проверка лого на локали IT",""
"passed","Mon May 06 19:47:06 GMT 2024","Mon May 06 19:47:07 GMT 2024","931","","tests.ParametrizedTests","","tests.ParametrizedTests","correctHeadlinesShouldBeVisible","correctHeadlinesShouldBeVisible(Language, List) Проверка на локали IT заголовков [Prodotti, Profilo dell’Azienda, Business, Acquisto vantaggioso]",""
"passed","Mon May 06 19:47:29 GMT 2024","Mon May 06 19:47:46 GMT 2024","16747","","tests.RegistrationFormPageObjectTests","","tests.RegistrationFormPageObjectTests","minSuccessfulTest","minSuccessfulTest()",""
"passed","Mon May 06 19:47:12 GMT 2024","Mon May 06 19:47:13 GMT 2024","863","","tests.ParametrizedTests","","tests.ParametrizedTests","checkingBa","Проверка текста баннера на различных локалях Проверка текста International business, born in Siberia на локали en",""
"passed","Mon May 06 19:47:12 GMT 2024","Mon May 06 19:47:12 GMT 2024","827","","tests.ParametrizedTests","","tests.ParametrizedTests","checkingBa","Проверка текста баннера на различных локалях Проверка текста Un business internazionale, creato in Siberia на локали it",""
